node_id,node_name,node_type,node_parent_id,full_name
0,sklearn,folder,,sklearn
1,base.py,file,0.0,sklearn\base.py
2,BaseEstimator,class,1.0,sklearn\base.py::BaseEstimator
3,ClassifierMixin,class,1.0,sklearn\base.py::ClassifierMixin
4,RegressorMixin,class,1.0,sklearn\base.py::RegressorMixin
5,ClusterMixin,class,1.0,sklearn\base.py::ClusterMixin
6,BiclusterMixin,class,1.0,sklearn\base.py::BiclusterMixin
7,TransformerMixin,class,1.0,sklearn\base.py::TransformerMixin
8,OneToOneFeatureMixin,class,1.0,sklearn\base.py::OneToOneFeatureMixin
9,ClassNamePrefixFeaturesOutMixin,class,1.0,sklearn\base.py::ClassNamePrefixFeaturesOutMixin
10,DensityMixin,class,1.0,sklearn\base.py::DensityMixin
11,OutlierMixin,class,1.0,sklearn\base.py::OutlierMixin
12,MetaEstimatorMixin,class,1.0,sklearn\base.py::MetaEstimatorMixin
13,MultiOutputMixin,class,1.0,sklearn\base.py::MultiOutputMixin
14,_UnstableArchMixin,class,1.0,sklearn\base.py::_UnstableArchMixin
15,calibration.py,file,0.0,sklearn\calibration.py
16,CalibratedClassifierCV,class,15.0,sklearn\calibration.py::CalibratedClassifierCV
17,_CalibratedClassifier,class,15.0,sklearn\calibration.py::_CalibratedClassifier
18,_SigmoidCalibration,class,15.0,sklearn\calibration.py::_SigmoidCalibration
19,CalibrationDisplay,class,15.0,sklearn\calibration.py::CalibrationDisplay
20,cluster,folder,0.0,sklearn\cluster
21,tests,folder,20.0,sklearn\cluster\tests
22,common.py,file,21.0,sklearn\cluster\tests\common.py
23,test_affinity_propagation.py,file,21.0,sklearn\cluster\tests\test_affinity_propagation.py
24,test_bicluster.py,file,21.0,sklearn\cluster\tests\test_bicluster.py
25,MockBiclustering,class,24.0,sklearn\cluster\tests\test_bicluster.py::MockBiclustering
26,test_birch.py,file,21.0,sklearn\cluster\tests\test_birch.py
27,test_bisect_k_means.py,file,21.0,sklearn\cluster\tests\test_bisect_k_means.py
28,test_dbscan.py,file,21.0,sklearn\cluster\tests\test_dbscan.py
29,test_feature_agglomeration.py,file,21.0,sklearn\cluster\tests\test_feature_agglomeration.py
30,test_hdbscan.py,file,21.0,sklearn\cluster\tests\test_hdbscan.py
31,test_hierarchical.py,file,21.0,sklearn\cluster\tests\test_hierarchical.py
32,FakeAffinity,class,31.0,sklearn\cluster\tests\test_hierarchical.py::FakeAffinity
33,test_k_means.py,file,21.0,sklearn\cluster\tests\test_k_means.py
34,test_mean_shift.py,file,21.0,sklearn\cluster\tests\test_mean_shift.py
35,test_optics.py,file,21.0,sklearn\cluster\tests\test_optics.py
36,test_spectral.py,file,21.0,sklearn\cluster\tests\test_spectral.py
37,_affinity_propagation.py,file,20.0,sklearn\cluster\_affinity_propagation.py
38,AffinityPropagation,class,37.0,sklearn\cluster\_affinity_propagation.py::AffinityPropagation
39,_agglomerative.py,file,20.0,sklearn\cluster\_agglomerative.py
40,AgglomerativeClustering,class,39.0,sklearn\cluster\_agglomerative.py::AgglomerativeClustering
41,FeatureAgglomeration,class,39.0,sklearn\cluster\_agglomerative.py::FeatureAgglomeration
42,_bicluster.py,file,20.0,sklearn\cluster\_bicluster.py
43,BaseSpectral,class,42.0,sklearn\cluster\_bicluster.py::BaseSpectral
44,SpectralCoclustering,class,42.0,sklearn\cluster\_bicluster.py::SpectralCoclustering
45,SpectralBiclustering,class,42.0,sklearn\cluster\_bicluster.py::SpectralBiclustering
46,_birch.py,file,20.0,sklearn\cluster\_birch.py
47,_CFNode,class,46.0,sklearn\cluster\_birch.py::_CFNode
48,_CFSubcluster,class,46.0,sklearn\cluster\_birch.py::_CFSubcluster
49,Birch,class,46.0,sklearn\cluster\_birch.py::Birch
50,_bisect_k_means.py,file,20.0,sklearn\cluster\_bisect_k_means.py
51,_BisectingTree,class,50.0,sklearn\cluster\_bisect_k_means.py::_BisectingTree
52,BisectingKMeans,class,50.0,sklearn\cluster\_bisect_k_means.py::BisectingKMeans
53,_dbscan.py,file,20.0,sklearn\cluster\_dbscan.py
54,DBSCAN,class,53.0,sklearn\cluster\_dbscan.py::DBSCAN
55,_feature_agglomeration.py,file,20.0,sklearn\cluster\_feature_agglomeration.py
56,AgglomerationTransform,class,55.0,sklearn\cluster\_feature_agglomeration.py::AgglomerationTransform
57,_hdbscan,folder,20.0,sklearn\cluster\_hdbscan
58,hdbscan.py,file,57.0,sklearn\cluster\_hdbscan\hdbscan.py
59,HDBSCAN,class,58.0,sklearn\cluster\_hdbscan\hdbscan.py::HDBSCAN
60,tests,folder,57.0,sklearn\cluster\_hdbscan\tests
61,test_reachibility.py,file,60.0,sklearn\cluster\_hdbscan\tests\test_reachibility.py
62,_kmeans.py,file,20.0,sklearn\cluster\_kmeans.py
63,_BaseKMeans,class,62.0,sklearn\cluster\_kmeans.py::_BaseKMeans
64,KMeans,class,62.0,sklearn\cluster\_kmeans.py::KMeans
65,MiniBatchKMeans,class,62.0,sklearn\cluster\_kmeans.py::MiniBatchKMeans
66,_mean_shift.py,file,20.0,sklearn\cluster\_mean_shift.py
67,MeanShift,class,66.0,sklearn\cluster\_mean_shift.py::MeanShift
68,_optics.py,file,20.0,sklearn\cluster\_optics.py
69,OPTICS,class,68.0,sklearn\cluster\_optics.py::OPTICS
70,_spectral.py,file,20.0,sklearn\cluster\_spectral.py
71,SpectralClustering,class,70.0,sklearn\cluster\_spectral.py::SpectralClustering
72,compose,folder,0.0,sklearn\compose
73,tests,folder,72.0,sklearn\compose\tests
74,test_column_transformer.py,file,73.0,sklearn\compose\tests\test_column_transformer.py
75,Trans,class,74.0,sklearn\compose\tests\test_column_transformer.py::Trans
76,DoubleTrans,class,74.0,sklearn\compose\tests\test_column_transformer.py::DoubleTrans
77,SparseMatrixTrans,class,74.0,sklearn\compose\tests\test_column_transformer.py::SparseMatrixTrans
78,TransNo2D,class,74.0,sklearn\compose\tests\test_column_transformer.py::TransNo2D
79,TransRaise,class,74.0,sklearn\compose\tests\test_column_transformer.py::TransRaise
80,TransWithNames,class,74.0,sklearn\compose\tests\test_column_transformer.py::TransWithNames
81,PandasOutTransformer,class,74.0,sklearn\compose\tests\test_column_transformer.py::PandasOutTransformer
82,TransAssert,class,74.0,sklearn\compose\tests\test_column_transformer.py::TransAssert
83,NoTrans,class,74.0,sklearn\compose\tests\test_column_transformer.py::NoTrans
84,NoFitTransform,class,74.0,sklearn\compose\tests\test_column_transformer.py::NoFitTransform
85,test_target.py,file,73.0,sklearn\compose\tests\test_target.py
86,DummyCheckerArrayTransformer,class,85.0,sklearn\compose\tests\test_target.py::DummyCheckerArrayTransformer
87,DummyCheckerListRegressor,class,85.0,sklearn\compose\tests\test_target.py::DummyCheckerListRegressor
88,DummyTransformer,class,85.0,sklearn\compose\tests\test_target.py::DummyTransformer
89,DummyRegressorWithExtraFitParams,class,85.0,sklearn\compose\tests\test_target.py::DummyRegressorWithExtraFitParams
90,DummyRegressorWithExtraPredictParams,class,85.0,sklearn\compose\tests\test_target.py::DummyRegressorWithExtraPredictParams
91,_column_transformer.py,file,72.0,sklearn\compose\_column_transformer.py
92,ColumnTransformer,class,91.0,sklearn\compose\_column_transformer.py::ColumnTransformer
93,make_column_selector,class,91.0,sklearn\compose\_column_transformer.py::make_column_selector
94,_target.py,file,72.0,sklearn\compose\_target.py
95,TransformedTargetRegressor,class,94.0,sklearn\compose\_target.py::TransformedTargetRegressor
96,conftest.py,file,0.0,sklearn\conftest.py
97,covariance,folder,0.0,sklearn\covariance
98,tests,folder,97.0,sklearn\covariance\tests
99,test_covariance.py,file,98.0,sklearn\covariance\tests\test_covariance.py
100,test_elliptic_envelope.py,file,98.0,sklearn\covariance\tests\test_elliptic_envelope.py
101,test_graphical_lasso.py,file,98.0,sklearn\covariance\tests\test_graphical_lasso.py
102,test_robust_covariance.py,file,98.0,sklearn\covariance\tests\test_robust_covariance.py
103,_elliptic_envelope.py,file,97.0,sklearn\covariance\_elliptic_envelope.py
104,EllipticEnvelope,class,103.0,sklearn\covariance\_elliptic_envelope.py::EllipticEnvelope
105,_empirical_covariance.py,file,97.0,sklearn\covariance\_empirical_covariance.py
106,EmpiricalCovariance,class,105.0,sklearn\covariance\_empirical_covariance.py::EmpiricalCovariance
107,_graph_lasso.py,file,97.0,sklearn\covariance\_graph_lasso.py
108,BaseGraphicalLasso,class,107.0,sklearn\covariance\_graph_lasso.py::BaseGraphicalLasso
109,GraphicalLasso,class,107.0,sklearn\covariance\_graph_lasso.py::GraphicalLasso
110,GraphicalLassoCV,class,107.0,sklearn\covariance\_graph_lasso.py::GraphicalLassoCV
111,_robust_covariance.py,file,97.0,sklearn\covariance\_robust_covariance.py
112,MinCovDet,class,111.0,sklearn\covariance\_robust_covariance.py::MinCovDet
113,_shrunk_covariance.py,file,97.0,sklearn\covariance\_shrunk_covariance.py
114,ShrunkCovariance,class,113.0,sklearn\covariance\_shrunk_covariance.py::ShrunkCovariance
115,LedoitWolf,class,113.0,sklearn\covariance\_shrunk_covariance.py::LedoitWolf
116,OAS,class,113.0,sklearn\covariance\_shrunk_covariance.py::OAS
117,cross_decomposition,folder,0.0,sklearn\cross_decomposition
118,tests,folder,117.0,sklearn\cross_decomposition\tests
119,test_pls.py,file,118.0,sklearn\cross_decomposition\tests\test_pls.py
120,_pls.py,file,117.0,sklearn\cross_decomposition\_pls.py
121,_PLS,class,120.0,sklearn\cross_decomposition\_pls.py::_PLS
